Town,Postcode,Latitude,Longitude
Wimbledon,SW19 1UE,51.418506,-0.2035287
Marylebone,NW1 1BU,51.531811,-0.13606576
Camden,NW1 9BY,51.545615,-0.13273259
Becontree Heath,RM8 1TJ,51.562939,0.12938394
Chadwell Heath,RM6 5JX,51.582932,0.14063935
Barking,IG11 9PD,51.540584,0.097882623
Becontree Heath,RM8 1AB,51.561306,0.14699607
Barking,IG11 8SP,51.543181,0.087949939
Barking,IG11 9PF,51.53538,0.10378599
Seven Kings Goodmayes,RM8 2UJ,51.554009,0.11651762
Dagenham,RM9 6BG,51.532429,0.14798722
Dagenham,RM9 5TR,51.553765,0.14134681
Ilford,IG1 2PG,51.544783,0.077754496
Barking,IG11 7XN,51.530722,0.094213931
Dagenham,RM10 7UU,51.550536,0.16196632
Edgware,HA8 9RZ,51.61725,-0.26102551
Burnt Oak,HA8 0LQ,51.60123,-0.26680695
East Finchley,N2 8AA,51.587332,-0.16474388
Southgate,N14 5JP,51.632149,-0.14240248
Finchley,N3 3JP,51.590002,-0.19835937
Burnt Oak,HA8 0BB,51.601152,-0.26761853
Hendon,NW4 3AP,51.582931,-0.22648217
Hendon,NW9 7BY,51.58187,-0.24564796
Hendon,NW9 7DG,51.578921,-0.24146061
Golders Green,NW11 9JJ,51.580253,-0.21059457
Finchley,N3 2TA,51.594787,-0.1861434
Barnet,EN5 1HD,51.644126,-0.1836836
East Finchley,N2 8AG,51.590734,-0.16492438
Whetstone,N20 9LN,51.633047,-0.1761065
Blackfen,DA15 9HB,51.44627,0.10426385
Bexley,DA5 1NP,51.444546,0.15069599
Sidcup,DA14 6QF,51.430652,0.083462613
Bexleyheath,DA7 5HB,51.473169,0.14441009
Belvedere,DA17 6DH,51.489781,0.15753483
Bexleyheath,DA6 7AA,51.450268,0.13875986
Barnehurst,DA1 4JJ,51.452298,0.17845101
Abbey Wood,SE2 9SX,51.495111,0.12172613
Bexleyheath,DA6 8AA,51.458512,0.13249462
Belvedere,DA17 5RX,51.490725,0.13643213
Neasden,NW2 7QP,51.561207,-0.25232951
Kensal Green,NW6 6JH,51.5388,-0.19484481
Neasden,NW2 7JR,51.569274,-0.23860065
Harlesden,NW10 4JJ,51.53695,-0.24597705
Willesden,NW2 5HT,51.54771,-0.22362624
Wembley,HA9 6BX,51.553745,-0.28847508
Wembley,HA0 3NG,51.562465,-0.30564805
Neasden,NW2 6NJ,51.561627,-0.22042939
Colindale,NW9 0NH,51.588284,-0.26335876
Wembley,HA0 4PY,51.546381,-0.29779416
Neasden,NW10 0UH,51.553044,-0.26214807
Colindale,NW9 0XD,51.583038,-0.26065757
Neasden,NW10 0QR,51.547825,-0.26439494
Harrow,HA1 3UJ,51.575098,-0.32248145
Wembley,HA9 7NS,51.562152,-0.29641185
Stanmore,HA7 1EE,51.593769,-0.2902628
Colindale,NW9 5AZ,51.595971,-0.26140522
Wembley,HA9 6BD,51.552557,-0.28530308
Neasden,NW10 1BD,51.550676,-0.24086241
Kenton,HA3 9RS,51.585682,-0.28883421
Wembley,HA9 8HP,51.56175,-0.28302409
Harlesden,NW10 9BA,51.542746,-0.25479624
Harlesden,NW10 8UN,51.537556,-0.25711444
Harlesden,NW10 8LF,51.542765,-0.26944739
Wembley,HA0 2HD,51.552052,-0.31252576
Harlesden,NW10 8SB,51.535391,-0.24880537
Wembley,HA9 8NF,51.570729,-0.29510998
Kenton,HA3 0AN,51.581037,-0.31835138
Wembley,HA0 1BH,51.537757,-0.29961555
Hayes (Kent),BR2 7LD,51.378998,0.017628669
Orpington,BR5 1BN,51.388302,0.065828365
Bromley Common,BR2 8AU,51.391573,0.053685838
Bromley Common,BR2 8AR,51.389857,0.049512505
Bromley,BR2 9LP,51.393199,0.030615514
Bromley Common,BR2 8HD,51.372322,0.03963432
Penge,SE20 7SX,51.408857,-0.058648343
Orpington,BR6 0DW,51.382634,0.094344562
Penge,SE20 7AG,51.413295,-0.05295253
Beckenham,BR3 4RB,51.402452,-0.053082411
St Pauls Cray,BR5 3RG,51.388917,0.11058589
Bromley,BR1 2AS,51.401768,0.046680692
Beckenham,BR3 3HQ,51.389677,-0.02694785
Beckenham,BR3 4TA,51.405031,-0.056739958
West Wickham,BR4 9HT,51.370308,-0.001086134
Penge,SE20 8BL,51.410726,-0.065629702
St Pauls Cray,BR5 3QD,51.40645,0.11521799
Bromley,BR1 3WF,51.408781,0.01563224
Penge,SE20 7HJ,51.417882,-0.05894195
Camden,NW1 0BN,51.537286,-0.13940372
